Job_Listing,Working_Title,Job Control,Salary_Range,Work_Type/Schedule,Department,Location,Publish_Date,Filing_Deadline,URLs
"BUSINESS TAXES SPECIALIST II, BOARD OF EQUALIZATION",CROS Production Support Business Analyst Lead,391898,$7339.00 - $9648.00,Permanent Fulltime,CA Department of Tax and Fee Administration,United States,9/11/2023,9/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=391898
CALTRANS HIGHWAY MAINTENANCE LEADWORKER,Caltrans Highway Maintenance Leadworker,392469,$4779.00 - $6011.00,Permanent Fulltime,Department of Transportation,Kern County,9/11/2023,9/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392469
CALTRANS HIGHWAY MAINTENANCE LEADWORKER,CHML,392225,$4779.00 - $6011.00,Permanent Fulltime,Department of Transportation,San Diego County,9/11/2023,9/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392225
"CAPTAIN, ADULT INSTITUTION",Captain,390700,$10800.00 - $12359.00,Permanent Fulltime,Department of Corrections & Rehabilitation,Sacramento County,9/11/2023,9/22/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=390700
CERTIFIED NURSING ASSISTANT,CERTIFIED NURSING ASSISTANT -PELICAN BAY STATE PRISON,371069,$19.39 - $24.28,Limited Term Intermittent,California Correctional Health Care Services,Del Norte County,9/11/2023,9/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=371069
CERTIFIED NURSING ASSISTANT,"Certified Nursing Assistant, CF, Sierra Conservation Center, Jamestown",379571,$620.60 - $777.00,Permanent Part-time,California Correctional Health Care Services,Tuolumne County,9/11/2023,10/9/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=379571
"CHIEF PHYSICIAN AND SURGEON, CORRECTIONAL FACILITY","CHIEF PHYSICIAN AND SURGEON, CF - PELICAN BAY STATE PRISON",385220,$23590.00 - $26999.00,Permanent Fulltime,California Correctional Health Care Services,Del Norte County,9/11/2023,9/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=385220
CLAIM AUDITOR,Claim Auditor,391828,$3517.00 - $4403.00,Permanent Fulltime,State Controller's Office,Sacramento County,9/11/2023,Until Filled,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=391828
CONSERVATIONIST I,Conservationist 1,392476,$3212.00 - $5102.00,Permanent Fulltime,CA Conservation Corps,Sacramento County,9/11/2023,Until Filled,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392476
COOK SPECIALIST II,Cook Specialist II,392374,$3695.00 - $4537.00,Permanent Fulltime,Department of Forestry & Fire Protection,San Diego County,9/11/2023,10/11/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392374
"CORRECTIONAL BUSINESS MANAGER I, DEPARTMENT OF CORRECTIONS","Correctional Business Manager I, DOC",391652,$7345.00 - $9126.00,Permanent Fulltime,California Substance Abuse Treatment Facility,Kings County,9/11/2023,9/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=391652
"CORRECTIONAL BUSINESS MANAGER I, DEPARTMENT OF CORRECTIONS","Correctional Business Manager I, DOC",391655,$7345.00 - $9126.00,Limited Term Fulltime,California Substance Abuse Treatment Facility,Kings County,9/11/2023,9/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=391655
CORRECTIONAL CASE RECORDS SUPERVISOR,CORRECTIONAL CASE RECORDS SUPERVISOR,392218,$5475.00 - $6781.00,Limited Term Fulltime,Valley State Prison,Madera County,9/11/2023,9/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392218
CORRECTIONAL OFFICER,Correctional Officer at CC#31 Eel River,392352,$6699.00 - $8422.00,Limited Term Fulltime,Sierra Conservation Center,Humboldt County,9/11/2023,9/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392352
CORRECTIONAL SERGEANT,Correctional Sergeant,392395,$7490.00 - $10007.00,Permanent Fulltime,Pleasant Valley State Prison,Fresno County,9/11/2023,9/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392395
CORRECTIONAL SUPERVISING COOK (CORRECTIONAL FACILITY),Correctional Supervising Cook (Correctional Facility),392410,$3996.00 - $4916.00,Permanent Fulltime,R J Donovan Correctional Facility,San Diego County,9/11/2023,9/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392410
CORRECTIONAL SUPERVISING COOK (CORRECTIONAL FACILITY),"Correctional Supervising Cook, CF",387391,$3996.00 - $4916.00,Permanent Fulltime,Correctional Training Facility,Monterey County,9/11/2023,9/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=387391
"DENTAL ASSISTANT, CORRECTIONAL FACILITY","Dental Assistant, Correctional Facility - High Desert State Prison",392420,$3548.00 - $6562.00,Limited Term Fulltime,California Correctional Health Care Services,Lassen County,9/11/2023,9/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392420
EDUCATION FISCAL SERVICES CONSULTANT,PC 0086,330542,$7538.00 - $9435.00,Permanent Fulltime,Department of Education,Sacramento County,9/11/2023,Until Filled,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=330542
EDUCATION PROGRAMS CONSULTANT,Education Programs Consultant (PC 4947),338364,$7538.00 - $9435.00,Permanent Fulltime,Department of Education,Sacramento County,9/11/2023,Until Filled,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=338364
"ENGINEER, WATER RESOURCES","Engineer, WR",387237,$6175.00 - $11567.00,Permanent Fulltime,Department of Water Resources,Sacramento County,9/11/2023,9/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=387237
FINANCIAL ACCOUNTANT III,Financial Accountant III,392143,$9633.00 - $10939.00,Permanent Fulltime,State Controller's Office,Sacramento County,9/11/2023,9/22/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392143
INFORMATION TECHNOLOGY SPECIALIST I,Backup Administrator,391996,$5960.00 - $9643.00,Permanent Fulltime,CA Department of Tax and Fee Administration,Sacramento County,9/11/2023,Until Filled,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=391996
INFORMATION TECHNOLOGY SPECIALIST I,Senior Application Developer,388117,$5960.00 - $9643.00,Permanent Fulltime,Department of Water Resources,Sacramento County,9/11/2023,10/2/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=388117
JUNIOR ENGINEERING TECHNICIAN,Junior Engineering Technician,389798,$2852.00 - $4314.00,Permanent Intermittent,Department of Water Resources,Sacramento County,9/11/2023,9/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=389798
JUNIOR ENGINEERING TECHNICIAN,Junior Engineering Technician,390287,$2852.00 - $4314.00,Permanent Fulltime,Department of Water Resources,Yolo County,9/11/2023,9/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=390287
"SENIOR VOCATIONAL REHABILITATION COUNSELOR, QUALIFIED REHABILITIATION PROFESSIONAL",Remote Rehabilitation Counselor,392061,$4636.00 - $6665.00,Permanent Fulltime,Department of Rehabilitation,Alameda County,9/11/2023,9/21/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392061
STAFF SERVICES ANALYST,Student Services Coordinator,392080,$3534.00 - $5744.00,Permanent Fulltime,Department of Rehabilitation,Solano County,9/11/2023,9/21/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392080
TRANSPORTATION ENGINEER (CIVIL),HM4-Safety Program Coordinator,392153,$6175.00 - $11567.00,Permanent Fulltime,Department of Transportation,Humboldt County,9/11/2023,10/13/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392153
TRANSPORTATION ENGINEER (CIVIL),Transportation Engineer,391912,$6175.00 - $11567.00,Permanent Fulltime,Department of Transportation,Humboldt County,9/11/2023,10/13/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=391912
TRANSPORTATION ENGINEER (CIVIL),Transportation Engineer,389474,$6175.00 - $11567.00,Permanent Fulltime,Department of Transportation,United States,9/11/2023,10/11/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=389474
ACCOUNTANT I (SPECIALIST),ACCOUNTANT I (SPECIALIST),392191,$3600.00 - $4506.00,Permanent Fulltime,California Rehabilitation Center,Riverside County,9/8/2023,9/26/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392191
ACCOUNTANT TRAINEE,Accountant Trainee,392050,$4065.00 - $4847.00,Permanent Fulltime,CA Housing Finance Agency,Sacramento County,9/8/2023,9/19/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392050
ACCOUNTANT TRAINEE,Accountant Trainee,391910,$4065.00 - $4847.00,Permanent Fulltime,Department of Corrections & Rehabilitation,Sacramento County,9/8/2023,9/22/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=391910
ACCOUNTANT TRAINEE,ACCOUNTANT TRAINEE,390366,$4065.00 - $4847.00,Permanent Fulltime,Department of Toxic Substances Control,Sacramento County,9/8/2023,9/19/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=390366
ACCOUNTING OFFICER (SPECIALIST),Accounting Officer (Specialist),392036,$4819.00 - $6032.00,Permanent Fulltime,Department of Education,Sacramento County,9/8/2023,9/18/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392036
ACCOUNTING OFFICER (SPECIALIST),Telework Option- EV/ART/PV AR Accounting Officer Specialist,392186,$4819.00 - $6032.00,Permanent Fulltime,Department of Industrial Relations,San Francisco County,9/8/2023,9/22/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392186
ACCOUNTING OFFICER (SPECIALIST),Accounting Officer (Specialist),392245,$4819.00 - $6032.00,Permanent Fulltime,California Highway Patrol,Sacramento County,9/8/2023,9/19/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392245
ACCOUNTING OFFICER (SPECIALIST),ACCOUNTING OFFICER (SPECIALIST) - Accounts Payable,392259,$4819.00 - $6032.00,Permanent Fulltime,State Air Resources Board,Sacramento County,9/8/2023,9/29/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392259
ADMINISTRATIVE ASSISTANT I,Administrative Assistant,392243,$4588.00 - $6010.00,Permanent Fulltime,CA High Speed Rail Authority,Sacramento County,9/8/2023,9/22/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392243
ADMINISTRATIVE ASSISTANT I,Administrative Assistant,392168,$4588.00 - $6010.00,Permanent Fulltime,Secretary of State,Sacramento County,9/8/2023,9/22/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392168
ADMINISTRATIVE LAW JUDGE,ADMINISTRATIVE LAW JUDGE,362680,$9981.00 - $13174.00,Permanent Fulltime,Department of Social Services,United States,9/8/2023,9/18/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=362680
"ADMINISTRATOR II, FRANCHISE TAX BOARD",Administrator ll,391754,$7704.00 - $10130.00,Permanent Fulltime,Franchise Tax Board,Sacramento County,9/8/2023,9/22/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=391754
AGRICULTURE PROGRAM SUPERVISOR I,Agriculture Program Supervisor I,386934,$6109.00 - $7582.00,Permanent Fulltime,Department of Food & Agriculture,Kern County,9/8/2023,9/22/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=386934
AIR RESOURCES SUPERVISOR I,Off-Road Implementation Section Supervisor,392280,$10886.00 - $13625.00,Permanent Fulltime,State Air Resources Board,Sacramento County,9/8/2023,9/22/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392280
"Assistant Secretary, Public and Employee Communications",Assistant Secretary,391380,$12770.00 - $14228.00,Non-Tenured Fulltime,Department of Corrections & Rehabilitation,Sacramento County,9/8/2023,9/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=391380
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Special Projects Analyst,380978,$5518.00 - $6907.00,Permanent Fulltime,California Governor's Office of Emergency Services,Sacramento County,9/8/2023,9/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=380978
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Program Specialist,391469,$5518.00 - $6907.00,Permanent Fulltime,California Governor's Office of Emergency Services,Sacramento County,9/8/2023,9/19/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=391469
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Associate Governmental Program Analyst (AGPA),383025,$5518.00 - $6907.00,Permanent Fulltime,Department of Social Services,United States,9/8/2023,9/20/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=383025
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Program Coordinator,390903,$5518.00 - $6907.00,Permanent Fulltime,Governor's Office of Planning and Research,Sacramento County,9/8/2023,9/22/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=390903
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Advocacy Support Analyst (Telework Option),392281,$5518.00 - $6907.00,Permanent Fulltime,Department of General Services,Yolo County,9/8/2023,9/22/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392281
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,PROGRAM SUPPORT ANALYST,392273,$5518.00 - $6907.00,Permanent Fulltime,Department of Conservation,Sacramento County,9/8/2023,9/19/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392273
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,392283,$5518.00 - $6907.00,Limited Term Fulltime,State Air Resources Board,Sacramento County,9/8/2023,9/23/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392283
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Executive and Investment Recruitment Analyst,392177,$5518.00 - $6907.00,Permanent Fulltime,Public Employees Retirement System,Sacramento County,9/8/2023,9/22/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392177
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Internal Communications Specialist,392162,$5518.00 - $6907.00,Permanent Fulltime,Public Utilities Commission,San Francisco County,9/8/2023,9/19/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392162
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,AGPA (Telework Option),392181,$5518.00 - $6907.00,Permanent Fulltime,Department of General Services,Yolo County,9/8/2023,9/22/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392181
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,AGPA (Telework Option),392151,$5518.00 - $6907.00,Permanent Fulltime,Department of General Services,Yolo County,9/8/2023,9/22/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392151
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Legislative Analyst (Telework Option),392232,$5518.00 - $6907.00,Permanent Fulltime,Department of General Services,Yolo County,9/8/2023,9/22/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392232
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,BILLING ANALYST,392210,$5518.00 - $6907.00,Permanent Fulltime,Department of General Services,Yolo County,9/8/2023,9/22/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392210
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Internal Communications Specialist,392195,$5518.00 - $6907.00,Permanent Fulltime,Public Utilities Commission,Sacramento County,9/8/2023,9/19/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392195
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,"Asset Management Services Analyst, Safety Coordinator",392198,$5518.00 - $6907.00,Permanent Fulltime,Department of Transportation,Sacramento County,9/8/2023,9/22/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392198
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,AGPA (Telework Option),392200,$5518.00 - $6907.00,Permanent Fulltime,Department of General Services,Yolo County,9/8/2023,9/22/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392200
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Enforcement Analyst,392042,$5518.00 - $6907.00,Limited Term Fulltime,Department of Consumer Affairs,Sacramento County,9/8/2023,9/18/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392042
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,392049,$5518.00 - $6907.00,Permanent Fulltime,State Water Resources Control Board,Sacramento County,9/8/2023,9/22/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392049
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Disability and Position Control Analyst,392084,$5518.00 - $6907.00,Permanent Fulltime,Department of FISCal,Sacramento County,9/8/2023,9/18/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392084
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Associate Governmental Program Analyst - Telework Option,392089,$5518.00 - $6907.00,Permanent Fulltime,Administrative Law Office,Sacramento County,9/8/2023,10/20/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392089
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,AGPA (Telework Option),392090,$5518.00 - $6907.00,Permanent Fulltime,Department of General Services,Yolo County,9/8/2023,9/22/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392090
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,ASSOCIATE GOVERNMENTAL PROGRAM ANALYST - TELEWORK OPTION,391730,$5518.00 - $6907.00,Limited Term Fulltime,California Department of Aging,Sacramento County,9/8/2023,9/22/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=391730
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Advocacy Support Analyst (Telework Option),391850,$5518.00 - $6907.00,Permanent Fulltime,Department of General Services,Yolo County,9/8/2023,9/22/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=391850
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,"Equity, Diversity, and Inclusion Analyst",391855,$5518.00 - $6907.00,Limited Term Fulltime,CA State Library,Sacramento County,9/8/2023,10/6/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=391855
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Associate Governmental Program Analyst,391576,$5518.00 - $6907.00,Permanent Fulltime,California Correctional Health Care Services,Sacramento County,9/8/2023,9/22/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=391576
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Emergency Logistics Coordinator (Telework Option),391556,$5518.00 - $6907.00,Permanent Fulltime,Department of General Services,Yolo County,9/8/2023,9/22/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=391556
ASSOCIATE GOVERNMENTAL PROGRAM ANALYST,Governmental Program Analyst (Telework Option),390641,$5518.00 - $7116.00,Permanent Fulltime,Department of Health Care Services,United States,9/8/2023,9/28/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=390641
ASSOCIATE PERSONNEL ANALYST,Classification and Pay Analyst Retired Annuitant,391917,$5518.00 - $7116.00,Retired Annuitant,California Correctional Health Care Services,Sacramento County,9/8/2023,9/18/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=391917
ASSOCIATE PERSONNEL ANALYST,Position Control Analyst,392239,$5518.00 - $6907.00,Permanent Fulltime,California Energy Commission,Sacramento County,9/8/2023,9/18/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392239
ATTORNEY,"Attorney, FPPC - Enforcement (Prosecutions Group)",392155,$7737.00 - $11173.00,Permanent Fulltime,Fair Political Practices Commission,Sacramento County,9/8/2023,9/22/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392155
ATTORNEY,Attorney,391853,$7506.00 - $11173.00,Permanent Fulltime,Board of Equalization,Sacramento County,9/8/2023,9/22/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=391853
ATTORNEY III,Attorney III - Telework Option,392118,$10536.00 - $13526.00,Permanent Fulltime,Administrative Law Office,Sacramento County,9/8/2023,10/20/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392118
ATTORNEY IV,Attorney IV,392254,$11644.00 - $14954.00,Permanent Fulltime,Department of General Services,Yolo County,9/8/2023,9/22/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392254
ATTORNEY V,Attorney V,392202,$12290.00 - $15685.00,Permanent Fulltime,California Energy Commission,Sacramento County,9/8/2023,9/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392202
AUTOMOBILE MECHANIC (CORRECTIONAL FACILITIES),Automobile Mechanic,392094,$4647.00 - $5349.00,Permanent Fulltime,Sierra Conservation Center,Tuolumne County,9/8/2023,9/22/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392094
AUTOMOBILE MECHANIC (CORRECTIONAL FACILITIES),AUTOMOBILE MECHANIC (CF),391719,$4647.00 - $5349.00,Permanent Fulltime,CDCR - San Quentin State Prison,Marin County,9/8/2023,9/22/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=391719
AUTOMOTIVE TECHNICIAN II,Automotive Technician,392088,$4057.00 - $5135.00,Permanent Fulltime,California Highway Patrol,San Luis Obispo County,9/8/2023,9/20/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392088
AUTOMOTIVE TECHNICIAN II,Automotive Technician II,392224,$4057.00 - $5135.00,Permanent Fulltime,California Highway Patrol,Santa Clara County,9/8/2023,9/19/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392224
CALTRANS EQUIPMENT OPERATOR II,CALTRANS EQUIPMENT OPERATOR II,392285,$4559.00 - $5500.00,Permanent Fulltime,Department of Transportation,Santa Barbara County,9/8/2023,9/22/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392285
CALTRANS EQUIPMENT OPERATOR II,Caltrans Equipment Operator II - Snow,265503,$4459.00 - $5379.00,Permanent Intermittent,Department of Transportation,El Dorado County,9/8/2023,9/22/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=265503
CALTRANS EQUIPMENT OPERATOR II,Caltrans Equipment Operator II,331992,$4559.00 - $5500.00,Permanent Intermittent,Department of Transportation,Yolo County,9/8/2023,9/22/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=331992
CALTRANS EQUIPMENT OPERATOR II,Caltrans Equipment Operator II,345393,$4559.00 - $5500.00,Permanent Intermittent,Department of Transportation,Sacramento County,9/8/2023,9/22/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=345393
CALTRANS HEAVY EQUIPMENT MECHANIC,Caltrans Heavy Equipment Technician (Traveling),392125,$5236.00 - $6035.00,Permanent Fulltime,Department of Transportation,Solano County,9/8/2023,9/22/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392125
CALTRANS HEAVY EQUIPMENT MECHANIC,Caltrans Heavy Equipment Mechanic,392105,$5236.00 - $6035.00,Permanent Fulltime,Department of Transportation,Colusa County,9/8/2023,9/22/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392105
CALTRANS HIGHWAY MAINTENANCE LEADWORKER,CALTRANS HIGHWAY MAINTENANCE LEADWORKER,391947,$4779.00 - $6011.00,Permanent Fulltime,Department of Transportation,Orange County,9/8/2023,9/22/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=391947
CALTRANS HIGHWAY MAINTENANCE WORKER,Caltrans Highway Maintenance Worker,391968,$3830.00 - $4366.00,Permanent Intermittent,Department of Transportation,San Joaquin County,9/8/2023,9/25/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=391968
CALTRANS HIGHWAY MAINTENANCE WORKER,CALTRANS HIGHWAY MAINTENANCE WORKER,392194,$3830.00 - $4366.00,Permanent Fulltime,Department of Transportation,Orange County,9/8/2023,9/22/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392194
CALTRANS HIGHWAY MAINTENANCE WORKER,Caltrans Highway Maintenance Worker,345103,$3830.00 - $4366.00,Permanent Intermittent,Department of Transportation,Sacramento County,9/8/2023,9/22/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=345103
CALTRANS HIGHWAY MAINTENANCE WORKER,Caltrans Highway Maintenance Worker,320909,$3830.00 - $4366.00,Permanent Intermittent,Department of Transportation,Yolo County,9/8/2023,9/22/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=320909
CALTRANS HIGHWAY MAINTENANCE WORKER,Caltrans Highway Maintenance Worker  PI - Snow,265511,$3746.00 - $4270.00,Permanent Intermittent,Department of Transportation,El Dorado County,9/8/2023,9/22/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=265511
CALTRANS MAINTENANCE SUPERVISOR,Caltrans Maintenance Supervisor,392282,$4848.00 - $6312.00,Permanent Fulltime,Department of Transportation,San Luis Obispo County,9/8/2023,9/22/2023,https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=392282
